# .test .cputime .temperature .time_mat1 .time_mat2
1 0.000877  0.000 0.000015 0.000003
2 0.001700  0.000 0.000004 0.000003
3 0.002774  0.000 0.000020 0.000003
4 0.003745  0.000 0.000004 0.000003
5 0.004638  0.000 0.000071 0.000004
6 0.005603 -0.487 0.000005 0.000004
7 0.006574 -0.487 0.000022 0.000004
8 0.007459 -0.487 0.000006 0.000005
9 0.008401 -0.974 0.000018 0.000005
10 0.009464 -0.974 0.000016 0.000006
11 0.010392 -1.461 0.000021 0.000007
12 0.011198 -1.461 0.000018 0.000007
13 0.012039 -1.461 0.000023 0.000008
14 0.012828 -1.461 0.000019 0.000009
15 0.013819  0.000 0.000024 0.000010
16 0.014671  0.000 0.000022 0.000011
17 0.015541  0.000 0.000026 0.000013
18 0.016422  0.000 0.000024 0.000013
19 0.017428 -0.487 0.000029 0.000015
20 0.018126  0.000 0.000025 0.000016
21 0.019023 -0.974 0.000027 0.000018
22 0.020024 -0.487 0.000032 0.000019
23 0.020893  0.487 0.000030 0.000021
24 0.021785  0.000 0.000034 0.000023
25 0.022687  0.487 0.000033 0.000024
26 0.023507  0.000 0.000038 0.000028
27 0.024520 -0.487 0.000037 0.000029
28 0.025174  1.461 0.000041 0.000032
29 0.026169  0.487 0.000039 0.000034
30 0.026986 -0.487 0.000045 0.000036
31 0.028078  0.000 0.000042 0.000038
32 0.028886  0.000 0.000050 0.000042
33 0.029949  0.000 0.000038 0.000044
34 0.030625  0.487 0.000058 0.000047
35 0.031530  0.000 0.000042 0.000050
36 0.032287  0.000 0.000061 0.000052
37 0.033408  0.000 0.000046 0.000055
38 0.034052 -0.487 0.000068 0.000057
39 0.035152 -0.487 0.000051 0.000061
40 0.035955  1.461 0.000072 0.000062
41 0.036904  0.487 0.000055 0.000066
42 0.037741  0.000 0.000077 0.000069
43 0.038422  0.000 0.000061 0.000072
44 0.039479 -0.974 0.000083 0.000076
45 0.040605  0.000 0.000066 0.000078
46 0.041494  0.974 0.000088 0.000082
47 0.042140  0.000 0.000072 0.000086
48 0.042845  0.000 0.000094 0.000089
49 0.044009  0.000 0.000077 0.000092
50 0.044733  0.487 0.000099 0.000096
51 0.045664  1.461 0.000084 0.000101
52 0.046759  0.487 0.000106 0.000104
53 0.047993  0.487 0.000090 0.000107
54 0.048736  0.000 0.000112 0.000114
55 0.049505  0.974 0.000096 0.000115
56 0.050259  0.000 0.000119 0.000121
57 0.051163  0.487 0.000103 0.000125
